904.43, 38.9841, 15


144.653785, 3.511169, 105.008551, 8.206703, 121.418312, 1.711155, 10.902104, 16.539589, 142.697328, 4.441246, 107.654654, 8.278141, 123.690046, 2.732212, 10.236230, 16.331070, 383.130505, 15.984308, 43, 18, 17, 0.000026, 23541.000000, 1533246712261.000000, 1533246761597, 26.001066, 37.606738, 3.868519, 143.080036, 4596.000000, 0.000000, 0.000000, 7.446917, 105.500000, 12280.000000, 0.000000, 0.000000, 1.591360, 122.000000, 17767.000000, 0.000000, 0.000000, 15.823494, 9.500000, 20509.000000, 
1, 41.836114, 10.803719, 45.526399, 10.155491, 97.698077, 37.160053, 120.437328, 6.282013, 42.694162, 11.251282, 43.518485, 10.025555, 98.317038, 38.377567, 119.134522, 6.425385, 304.581062, 33.200638, 40, 8, 8, 0.000018, 10246.000000, 1533251761254.000000, 1533251789716, 0.000000, 0.000000, 10.150408, 41.679740, 6683.000000, 0.000000, 0.000000, 9.953718, 44.239580, 10077.000000, 0.000000, 0.000000, 36.616482, 97.000000, 12200.000000, 0.000000, 0.000000, 5.883587, 119.622065, 15792.000000, 
1, 9.510074, 3.661255, 345.139999, 44.649391, 296.812656, 44.056232, 82.008699, 25.272133, 9.960955, 2.882957, 340.668330, 1.536297, 295.947437, 44.534195, 80.619338, 24.462723, 730.333743, 59.819506, 46, 17, 9, 0.000024, 18520.000000, 1533252036518.000000, 1533252079026, 0.000000, 0.000000, 2.877857, 9.000000, 8830.000000, 0.000000, 0.000000, 1.217344, 62.500000, 14506.000000, 0.000000, 0.000000, 0.000001, 105.122261, 17970.000000, 0.000000, 0.000000, 24.585072, 80.951618, 20836.000000, 
1, 18.083533, 35.806992, 26.399363, 9.637539, 352.698231, 36.802490, 330.966962, 15.592812, 17.625764, 7.460566, 26.329639, 6.365818, 351.489539, 36.004086, 338.522835, 16.350580, 731.057932, 49.919916, 60, 22, 16, 0.000033, 20097.000000, 1533252215013.000000, 1533252268105, 0.000000, 0.000000, 2.726016, 16.000000, 9410.000000, 0.000000, 0.000000, 7.675028, 25.824692, 14997.000000, 154.565662, 0.000000, 9.767115, 17.500000, 22123.000000, 0.000000, 0.000000, 22.084032, 271.797648, 26902.000000, 
2, 10.803619, 37.803596, 14.791588, 4.398705, 85.148033, 7.503130, 109.747016, 18.434950, 11.205322, 7.460566, 16.647064, 5.038666, 84.989428, 7.643843, 110.918456, 19.310959, 222.125263, 35.070190, 50, 25, 13, 0.000036, 20097.000000, 1533252276813.000000, 1533252332699, 0.000000, 0.000000, 4.647194, 12.500000, 14953.000000, 0.000000, 0.000000, 7.457839, 84.500000, 22119.000000, 0.000000, 0.000000, 9.285707, 10.500000, 29897.000000, 12.503057, 6.945462, 6.044165, 106.000000, 31220.000000, 
1, 465.923999, 28.082592, 484.205995, 12.556763, 70.812545, 11.528608, 77.248327, 3.544765, 463.688564, 28.582123, 478.772042, 11.812290, 69.907248, 11.906908, 76.105666, 3.124199, 1093.332193, 28.856364, 94, 19, 13, 0.000043, 10792.000000, 1533252622423.000000, 1533252676398, 39.570116, 97.496493, 4.411501, 116.500000, 12552.000000, 0.000000, 0.000000, 5.378595, 90.000000, 19586.000000, 38.523901, 33.288526, 15.996899, 81.000000, 30079.000000, 0.000000, 0.000000, 8.199366, 69.500000, 38588.000000, 
1, 55.944377, 30.516327, 493.553820, 19.158379, 150.062242, 30.542130, 291.587873, 23.990997, 56.062987, 30.227943, 492.243797, 20.151047, 152.099857, 30.276516, 292.683820, 18.434948, 992.119386, 53.103916, 24, 0, 8, 0.000010, 2204.000000, 1533254387659.000000, 1533254399718, 0.000000, 0.000000, 4.404171, 17.500000, 3777.000000, 7.654307, 133.717428, 0.673634, 111.000000, 7407.000000, 2.682884, 159.155679, 15.098933, 202.500000, 7407.000000, 0.000000, 0.000000, 20.010615, 164.500000, 7407.000000, 
2, 342.816181, 17.765919, 365.046397, 29.998680, 465.128532, 27.249256, 332.569474, 25.470001, 352.434450, 17.989685, 365.446362, 29.101234, 459.941788, 25.486385, 332.587888, 16.782639, 1507.985536, 51.241928, 29, 0, 9, 0.000015, 2204.000000, 1533254402513.000000, 1533254419678, 6.873685, 7.385034, 11.374914, 341.000000, 6827.000000, 0.000000, 0.000000, 47.821913, 151.500000, 11151.000000, 1.685026, 105.662991, 22.884453, 209.000000, 11151.000000, 0.000000, 0.000000, 16.665192, 206.500000, 11879.000000, 
